player_name,total_points,gws,cost,position,points_per_match,points_last_6,points_per_match_last_6,cost_per_point,cost_per_point_last_6,cost_point_index,cost_point_index_last_6
Aaron_Connolly,31.0,11.0,4,4,2.82,14.0,1.02,0.129,0.2857,0.3711,0.25
Aaron_Cresswell,237.0,125.0,4,2,1.9,25.0,1.04,0.0169,0.16,0.25,0.5
Aaron_Lennon,135.0,125.0,4,3,1.08,3.0,1.01,0.0296,1.3333,0.1421,0.125
Aaron_Mooy,197.0,87.0,4,3,2.26,6.0,1.01,0.0203,0.6667,0.2974,0.125
Aaron_Ramsdale,48.0,45.0,4,1,1.07,37.0,1.06,0.0833,0.1081,0.1408,0.75
Aaron_Wan-Bissaka,158.0,93.0,5,2,1.7,6.0,1.01,0.0316,0.8333,0.2237,0.125
Abd-Al-Ali Morakinyo Olaposi_Koiki,0.0,29.0,4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Abdoulaye_Doucouré,325.0,125.0,5,3,2.6,20.0,1.03,0.0154,0.25,0.3421,0.375
Adama_Traoré,134.0,84.0,5,3,1.6,33.0,1.06,0.0373,0.1515,0.2105,0.75
Adam_Idah,0.0,11.0,4,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Adam_Lallana,187.0,125.0,5,3,1.5,11.0,1.02,0.0267,0.4545,0.1974,0.25
Adam_Masina,33.0,49.0,4,2,0.67,7.0,1.01,0.1212,0.5714,0.0882,0.125
Adam_Smith,258.0,125.0,4,2,2.06,23.0,1.04,0.0155,0.1739,0.2711,0.5
Adam_Webster,23.0,11.0,4,2,2.09,21.0,1.04,0.1739,0.1905,0.275,0.5
Addji Keaninkin Marc-Israel_Guehi,0.0,12.0,4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ademola_Lookman,60.0,105.0,5,3,0.57,0.0,1.0,0.0833,0.0,0.075,0.0
Adrian_Mariappa,129.0,122.0,4,2,1.06,-1.0,1.0,0.031,0.0,0.1395,0.0
Adrián_San Miguel del Castillo,159.0,125.0,4,1,1.27,9.0,1.02,0.0252,0.4444,0.1671,0.25
Ahmed_El Mohamady,7.0,11.0,4,2,0.64,0.0,1.0,0.5714,0.0,0.0842,0.0
Ainsley_Maitland-Niles,77.0,113.0,4,2,0.68,-3.0,1.0,0.0519,0.0,0.0895,0.0
Akin_Famewo,0.0,11.0,4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Albian_Ajeti,3.0,11.0,5,4,0.27,3.0,1.01,1.6667,1.6667,0.0356,0.125
Alexander_Tettey,11.0,11.0,4,3,1.0,8.0,1.01,0.3636,0.5,0.1316,0.125
Alexandre Nascimento_Costa Silva,1.0,33.0,4,4,0.03,0.0,1.0,4.0,0.0,0.004,0.0
