player_name,total_points,gws,cost,position,points_per_match,points_last_6,points_per_match_last_6,cost_per_point,cost_per_point_last_6,cost_point_index,cost_point_index_last_6
Aaron_Connolly,34.0,15.0,4,4,2.27,5.0,1.01,0.1176,0.8,0.2987,0.1
Aaron_Cresswell,253.0,129.0,4,2,1.96,18.0,1.03,0.0158,0.2222,0.2579,0.3
Aaron_Lennon,138.0,129.0,4,3,1.07,3.0,1.01,0.029,1.3333,0.1408,0.1
Aaron_Mooy,209.0,91.0,4,3,2.3,12.0,1.02,0.0191,0.3333,0.3026,0.2
Aaron_Ramsdale,57.0,49.0,4,1,1.16,26.0,1.04,0.0702,0.1538,0.1526,0.4
Aaron_Wan-Bissaka,163.0,97.0,5,2,1.68,8.0,1.01,0.0307,0.625,0.2211,0.1
Abd-Al-Ali Morakinyo Olaposi_Koiki,0.0,29.0,4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Abdoulaye_Doucouré,333.0,129.0,5,3,2.58,12.0,1.02,0.015,0.4167,0.3395,0.2
Adama_Traoré,149.0,88.0,5,3,1.69,19.0,1.03,0.0336,0.2632,0.2224,0.3
Adam_Idah,0.0,15.0,4,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Adam_Lallana,190.0,129.0,5,3,1.47,5.0,1.01,0.0263,1.0,0.1934,0.1
Adam_Masina,34.0,53.0,4,2,0.64,8.0,1.01,0.1176,0.5,0.0842,0.1
Adam_Smith,262.0,129.0,4,2,2.03,22.0,1.04,0.0153,0.1818,0.2671,0.4
Adam_Webster,32.0,15.0,4,2,2.13,9.0,1.02,0.125,0.4444,0.2803,0.2
Addji Keaninkin Marc-Israel_Guehi,0.0,16.0,4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ademola_Lookman,60.0,109.0,5,3,0.55,0.0,1.0,0.0833,0.0,0.0724,0.0
Adrian_Mariappa,133.0,126.0,4,2,1.06,5.0,1.01,0.0301,0.8,0.1395,0.1
Adrián_San Miguel del Castillo,161.0,129.0,4,1,1.25,2.0,1.0,0.0248,2.0,0.1645,0.0
Ahmed_El Mohamady,13.0,15.0,4,2,0.87,6.0,1.01,0.3077,0.6667,0.1145,0.1
Ainsley_Maitland-Niles,77.0,117.0,4,2,0.66,0.0,1.0,0.0519,0.0,0.0868,0.0
Akin_Famewo,0.0,15.0,4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Albian_Ajeti,5.0,15.0,5,4,0.33,4.0,1.01,1.0,1.25,0.0434,0.1
Alexander_Tettey,20.0,15.0,4,3,1.33,13.0,1.02,0.2,0.3077,0.175,0.2
Alexandre Nascimento_Costa Silva,1.0,37.0,4,4,0.03,0.0,1.0,4.0,0.0,0.004,0.0
Alexandre_Lacazette,351.0,91.0,9,4,3.86,32.0,1.05,0.0256,0.2813,0.5079,0.5
Alexis_Mac Allister,1.0,3.0,5,3,0.33,1.0,1.0,5.0,5.0,0.0435,1.0E-4
Alexis_Sánchez,463.0,129.0,6,3,3.59,0.0,1.0,0.013,0.0,0.4724,0.0
Alex_Iwobi,307.0,129.0,5,3,2.38,10.0,1.02,0.0163,0.5,0.3132,0.2
Alex_McCarthy,134.0,129.0,4,1,1.04,9.0,1.02,0.0299,0.4444,0.1368,0.2
Alex_Oxlade-Chamberlain,195.0,129.0,6,3,1.51,8.0,1.01,0.0308,0.75,0.1987,0.1
Alfie_Whiteman,0.0,76.0,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Alireza_Jahanbakhsh,33.0,53.0,5,3,0.62,0.0,1.0,0.1515,0.0,0.0816,0.0
Alisson_Ramses Becker,188.0,53.0,6,1,3.55,9.0,1.02,0.0319,0.6667,0.4671,0.2
Allan_Saint-Maximin,29.0,15.0,5,3,1.93,21.0,1.04,0.1724,0.2381,0.254,0.4
Andreas_Christensen,111.0,91.0,4,2,1.22,2.0,1.0,0.036,2.0,0.1605,0.0
Andreas_Pereira,64.0,129.0,4,3,0.5,18.0,1.03,0.0625,0.2222,0.0658,0.3
Andrew_Robertson,463.0,129.0,7,2,3.59,25.0,1.04,0.0151,0.28,0.4724,0.4
Andrew_Surman,165.0,129.0,4,3,1.28,0.0,1.0,0.0242,0.0,0.1684,0.0
Andre_Gray,297.0,129.0,5,4,2.3,10.0,1.02,0.0168,0.5,0.3026,0.2
Andre_Green,0.0,15.0,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Andriy_Yarmolenko,75.0,53.0,5,3,1.42,13.0,1.02,0.0667,0.3846,0.1868,0.2
Andros_Townsend,402.0,129.0,5,3,3.12,13.0,1.02,0.0124,0.3846,0.4105,0.2
André Filipe_Tavares Gomes,77.0,53.0,5,3,1.45,4.0,1.01,0.0649,1.25,0.1908,0.1
Andy_Carroll,129.0,129.0,5,4,1.0,8.0,1.01,0.0388,0.625,0.1316,0.1
Andy_King,92.0,91.0,4,3,1.01,0.0,1.0,0.0435,0.0,0.1329,0.0
Andy_Lonergan,0.0,15.0,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Angelo_Ogbonna,207.0,129.0,4,2,1.6,14.0,1.02,0.0193,0.2857,0.2105,0.2
Angel_Gomes,4.0,36.0,4,3,0.11,0.0,1.0,1.0,0.0,0.0145,0.0
Angus_Gunn,76.0,58.0,4,1,1.31,0.0,1.0,0.0526,0.0,0.1724,0.0
Anthony_Driscoll-Glennon,0.0,17.0,3,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Anthony_Gordon,1.0,15.0,4,4,0.07,1.0,1.0,4.0,4.0,0.0093,1.0E-4
Anthony_Knockaert,162.0,91.0,5,3,1.78,0.0,1.0,0.0309,0.0,0.2342,0.0
Anthony_Martial,384.0,129.0,7,3,2.98,22.0,1.04,0.0182,0.3182,0.3921,0.4
Antonio_Rüdiger,232.0,91.0,6,2,2.55,0.0,1.0,0.0259,0.0,0.3355,0.0
Anwar_El Ghazi,52.0,15.0,5,3,3.47,16.0,1.03,0.0962,0.3125,0.4566,0.3
Archie_Mair,0.0,15.0,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Armando_Broja,1.0,1.0,4,4,1.0,1.0,1.0,4.0,4.0,0.1317,1.0E-4
Arnaut_Danjuma Groeneveld,16.0,15.0,5,3,1.07,13.0,1.02,0.3125,0.3846,0.1408,0.2
Arthur_Masuaku,171.0,129.0,4,2,1.33,1.0,1.0,0.0234,4.0,0.175,1.0E-4
Artur_Boruc,166.0,129.0,4,1,1.29,0.0,1.0,0.0241,0.0,0.1697,0.0
Ashley_Barnes,349.0,129.0,6,4,2.71,20.0,1.03,0.0172,0.3,0.3566,0.3
Ashley_Westwood,196.0,106.0,5,3,1.85,11.0,1.02,0.0255,0.4545,0.2434,0.2
Ashley_Young,214.0,129.0,5,2,1.66,4.0,1.01,0.0234,1.25,0.2184,0.1
Asmir_Begovic,177.0,129.0,4,1,1.37,0.0,1.0,0.0226,0.0,0.1803,0.0
Axel_Tuanzebe,21.0,64.0,4,2,0.33,1.0,1.0,0.1905,4.0,0.0434,1.0E-4
Aymeric_Laporte,221.0,67.0,6,2,3.3,0.0,1.0,0.0271,0.0,0.4342,0.0
Ayotomiwa_Dele-Bashiru,0.0,15.0,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ayoze_Pérez,322.0,91.0,6,3,3.54,35.0,1.06,0.0186,0.1714,0.4658,0.6
Bailey_Peacock-Farrell,0.0,15.0,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bamidele_Alli,545.0,129.0,8,3,4.22,43.0,1.07,0.0147,0.186,0.5553,0.7
Beni_Baningime,7.0,82.0,4,3,0.09,0.0,1.0,0.5714,0.0,0.0119,0.0
Benjamin_Chilwell,266.0,129.0,5,2,2.06,41.0,1.07,0.0188,0.122,0.2711,0.7
Benjamin_Mendy,95.0,91.0,5,2,1.04,9.0,1.02,0.0526,0.5556,0.1368,0.2
Ben_Davies,307.0,129.0,5,2,2.38,5.0,1.01,0.0163,1.0,0.3132,0.1
Ben_Foster,416.0,129.0,4,1,3.22,27.0,1.05,0.0096,0.1481,0.4237,0.5
Ben_Gibson,127.0,91.0,3,2,1.4,0.0,1.0,0.0236,0.0,0.1842,0.0
Ben_Godfrey,18.0,15.0,4,2,1.2,10.0,1.02,0.2222,0.4,0.1579,0.2
Ben_Johnson,2.0,50.0,3,2,0.04,0.0,1.0,1.5,0.0,0.0053,0.0
Ben_Mee,303.0,129.0,5,2,2.35,12.0,1.02,0.0165,0.4167,0.3092,0.2
Ben_Osborn,2.0,15.0,4,3,0.13,0.0,1.0,2.0,0.0,0.0171,0.0
Beram_Kayal,61.0,91.0,4,3,0.67,0.0,1.0,0.0656,0.0,0.0882,0.0
Bernardo Mota_Veiga de Carvalho e Silva,330.0,91.0,7,3,3.63,23.0,1.04,0.0212,0.3043,0.4776,0.4
Bernardo_Costa Da Rosa,0.0,9.0,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernardo_Fernandes da Silva Junior,41.0,53.0,4,2,0.77,0.0,1.0,0.0976,0.0,0.1013,0.0
Bernard_Anício Caldeira Duarte,120.0,53.0,6,3,2.26,5.0,1.01,0.05,1.2,0.2974,0.1
Bernard_Ashley-Seal,0.0,15.0,4,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernd_Leno,157.0,53.0,5,1,2.96,22.0,1.04,0.0318,0.2273,0.3895,0.4
