player_name,total_points,gws,cost,position,points_per_match,points_last_6,points_per_match_last_6,cost_per_point,cost_per_point_last_6,cost_point_index,cost_point_index_last_6
Aaron_Connolly,37.0,18.0,4,4,2.06,4.0,1.01,0.1081,1.0,0.2711,0.125
Aaron_Cresswell,259.0,132.0,4,2,1.96,21.0,1.04,0.0154,0.1905,0.2579,0.5
Aaron_Lennon,140.0,132.0,4,3,1.06,5.0,1.01,0.0286,0.8,0.1395,0.125
Aaron_Mooy,215.0,94.0,4,3,2.29,18.0,1.03,0.0186,0.2222,0.3013,0.375
Aaron_Ramsdale,72.0,52.0,4,1,1.38,20.0,1.03,0.0556,0.2,0.1816,0.375
Aaron_Wan-Bissaka,171.0,100.0,5,2,1.71,11.0,1.02,0.0292,0.4545,0.225,0.25
Abd-Al-Ali Morakinyo Olaposi_Koiki,0.0,29.0,4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Abdoulaye_Doucouré,339.0,132.0,5,3,2.57,11.0,1.02,0.0147,0.4545,0.3382,0.25
Adama_Traoré,163.0,91.0,5,3,1.79,24.0,1.04,0.0307,0.2083,0.2355,0.5
Adam_Idah,3.0,18.0,4,4,0.17,3.0,1.01,1.3333,1.3333,0.0224,0.125
Adam_Lallana,191.0,132.0,5,3,1.45,4.0,1.01,0.0262,1.25,0.1908,0.125
Adam_Masina,40.0,56.0,4,2,0.71,7.0,1.01,0.1,0.5714,0.0934,0.125
Adam_Smith,262.0,132.0,4,2,1.98,3.0,1.01,0.0153,1.3333,0.2605,0.125
Adam_Webster,37.0,18.0,4,2,2.06,14.0,1.02,0.1081,0.2857,0.2711,0.25
Addji Keaninkin Marc-Israel_Guehi,0.0,19.0,4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ademola_Lookman,60.0,112.0,5,3,0.54,0.0,1.0,0.0833,0.0,0.0711,0.0
Adrian_Mariappa,140.0,129.0,4,2,1.09,10.0,1.02,0.0286,0.4,0.1434,0.25
Adrián_San Miguel del Castillo,161.0,132.0,4,1,1.22,2.0,1.0,0.0248,2.0,0.1605,0.0
Ahmed_El Mohamady,13.0,18.0,4,2,0.72,6.0,1.01,0.3077,0.6667,0.0947,0.125
Ainsley_Maitland-Niles,86.0,120.0,4,2,0.72,9.0,1.02,0.0465,0.4444,0.0947,0.25
Akin_Famewo,0.0,18.0,4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Albian_Ajeti,6.0,18.0,5,4,0.33,2.0,1.0,0.8333,2.5,0.0434,0.0
Alexander_Tettey,32.0,18.0,4,3,1.78,19.0,1.03,0.125,0.2105,0.2342,0.375
Alexandre Nascimento_Costa Silva,1.0,40.0,4,4,0.03,0.0,1.0,4.0,0.0,0.004,0.0
Alexandre_Lacazette,352.0,94.0,9,4,3.74,22.0,1.04,0.0256,0.4091,0.4921,0.5
Alexis_Mac Allister,1.0,3.0,5,3,0.33,1.0,1.0,5.0,5.0,0.0435,1.0E-4
Alexis_Sánchez,463.0,132.0,6,3,3.51,0.0,1.0,0.013,0.0,0.4618,0.0
Alex_Iwobi,312.0,132.0,5,3,2.36,10.0,1.02,0.016,0.5,0.3105,0.25
Alex_McCarthy,142.0,132.0,4,1,1.08,14.0,1.02,0.0282,0.2857,0.1421,0.25
Alex_Oxlade-Chamberlain,204.0,132.0,6,3,1.55,15.0,1.03,0.0294,0.4,0.2039,0.375
Alfie_Whiteman,0.0,79.0,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
