player_name,total_points,gws,cost,position,points_per_match,points_last_6,points_per_match_last_6,cost_per_point,cost_per_point_last_6,cost_point_index,cost_point_index_last_6
Aaron_Ramsdale,6.0,36.0,4,1,0.17,6.0,1.01,0.6667,0.6667,0.0283,0.1667
Alisson_Ramses Becker,177.0,40.0,6,1,4.43,21.0,1.04,0.0339,0.2857,0.7383,0.6667
Dean_Henderson,11.0,2.0,5,1,5.5,11.0,1.02,0.4545,0.4545,0.9167,0.3333
Hugo_Lloris,438.0,116.0,5,1,3.78,22.0,1.04,0.0114,0.2273,0.63,0.6667
Jamie_Vardy,522.0,116.0,9,4,4.5,30.0,1.05,0.0172,0.3,0.75,0.8333
Jesse_Lingard,270.0,116.0,6,3,2.33,7.0,1.01,0.0222,0.8571,0.3883,0.1667
Joelinton Cássio_Apolinário de Lira,3.0,2.0,5,4,1.5,3.0,1.01,1.6667,1.6667,0.25,0.1667
João Pedro Cavaco_Cancelo,0.0,2.0,5,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Kasper_Schmeichel,361.0,116.0,5,1,3.11,26.0,1.04,0.0139,0.1923,0.5183,0.6667
Kepa_Arrizabalaga,144.0,40.0,5,1,3.6,13.0,1.02,0.0347,0.3846,0.6,0.3333
Kevin_De Bruyne,485.0,116.0,10,3,4.18,19.0,1.03,0.0206,0.5263,0.6967,0.5
Kurt_Zouma,215.0,115.0,4,2,1.87,22.0,1.04,0.0186,0.1818,0.3117,0.6667
Mason_Mount,12.0,2.0,6,3,6.0,12.0,1.02,0.5,0.5,1.0,0.3333
Maximillian_Aarons,1.0,2.0,4,2,0.5,1.0,1.0,4.0,4.0,0.0834,1.0E-4
Nicolas_Pépé,2.0,2.0,9,3,1.0,2.0,1.0,4.5,4.5,0.1668,1.0E-4
Pedro_Rodríguez Ledesma,359.0,116.0,6,3,3.09,14.0,1.02,0.0167,0.4286,0.515,0.3333
Pierre-Emerick_Aubameyang,304.0,53.0,11,4,5.74,35.0,1.06,0.0362,0.3143,0.9567,1.0
Richarlison_de Andrade,284.0,78.0,8,3,3.64,19.0,1.03,0.0282,0.4211,0.6067,0.5
Shane_Long,176.0,116.0,4,4,1.52,15.0,1.03,0.0227,0.2667,0.2533,0.5
Shkodran_Mustafi,279.0,113.0,5,2,2.47,4.0,1.01,0.0179,1.25,0.4117,0.1667
Troy_Deeney,323.0,116.0,6,4,2.78,8.0,1.01,0.0186,0.75,0.4633,0.1667
Virgil_van Dijk,371.0,116.0,6,2,3.2,37.0,1.06,0.0162,0.1622,0.5333,1.0
Wesley_Moraes,4.0,2.0,5,4,2.0,4.0,1.01,1.25,1.25,0.3334,0.1667
Çaglar_Söyüncü,17.0,40.0,5,2,0.43,8.0,1.01,0.2941,0.625,0.0717,0.1667
