player_name,total_points,gws,cost,position,points_per_match,points_last_6,points_per_match_last_6,cost_per_point,cost_per_point_last_6,cost_point_index,cost_point_index_last_6
Aaron_Connolly,36.0,16.0,4,4,2.25,7.0,1.01,0.1111,0.5714,0.2961,0.1111
Aaron_Cresswell,253.0,130.0,4,2,1.95,16.0,1.03,0.0158,0.25,0.2566,0.3333
Aaron_Lennon,139.0,130.0,4,3,1.07,4.0,1.01,0.0288,1.0,0.1408,0.1111
Aaron_Mooy,211.0,92.0,4,3,2.29,14.0,1.02,0.019,0.2857,0.3013,0.2222
Aaron_Ramsdale,60.0,50.0,4,1,1.2,21.0,1.04,0.0667,0.1905,0.1579,0.4444
Aaron_Wan-Bissaka,166.0,98.0,5,2,1.69,10.0,1.02,0.0301,0.5,0.2224,0.2222
Abd-Al-Ali Morakinyo Olaposi_Koiki,0.0,29.0,4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Abdoulaye_Doucouré,335.0,130.0,5,3,2.58,12.0,1.02,0.0149,0.4167,0.3395,0.2222
Adama_Traoré,151.0,89.0,5,3,1.7,19.0,1.03,0.0331,0.2632,0.2237,0.3333
Adam_Idah,0.0,16.0,4,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Adam_Lallana,190.0,130.0,5,3,1.46,5.0,1.01,0.0263,1.0,0.1921,0.1111
Adam_Masina,40.0,54.0,4,2,0.74,8.0,1.01,0.1,0.5,0.0974,0.1111
Adam_Smith,262.0,130.0,4,2,2.02,16.0,1.03,0.0153,0.25,0.2658,0.3333
Adam_Webster,33.0,16.0,4,2,2.06,11.0,1.02,0.1212,0.3636,0.2711,0.2222
Addji Keaninkin Marc-Israel_Guehi,0.0,17.0,4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ademola_Lookman,60.0,110.0,5,3,0.55,0.0,1.0,0.0833,0.0,0.0724,0.0
Adrian_Mariappa,133.0,127.0,4,2,1.05,5.0,1.01,0.0301,0.8,0.1382,0.1111
Adrián_San Miguel del Castillo,161.0,130.0,4,1,1.24,2.0,1.0,0.0248,2.0,0.1632,0.0
Ahmed_El Mohamady,13.0,16.0,4,2,0.81,6.0,1.01,0.3077,0.6667,0.1066,0.1111
Ainsley_Maitland-Niles,79.0,118.0,4,2,0.67,2.0,1.0,0.0506,2.0,0.0882,0.0
Akin_Famewo,0.0,16.0,4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Albian_Ajeti,5.0,16.0,5,4,0.31,3.0,1.01,1.0,1.6667,0.0408,0.1111
