player_name,total_points,gws,cost,position,points_per_match,points_last_6,points_per_match_last_6,cost_per_point,cost_per_point_last_6,cost_point_index,cost_point_index_last_6
Aaron_Connolly,33.0,14.0,4,4,2.36,5.0,1.01,0.1212,0.8,0.3105,0.0909
Aaron_Cresswell,253.0,128.0,4,2,1.98,18.0,1.03,0.0158,0.2222,0.2605,0.2727
Aaron_Lennon,136.0,128.0,4,3,1.06,2.0,1.0,0.0294,2.0,0.1395,0.0
Aaron_Mooy,201.0,90.0,4,3,2.23,2.0,1.0,0.0199,2.0,0.2934,0.0
Aaron_Ramsdale,55.0,48.0,4,1,1.15,30.0,1.05,0.0727,0.1333,0.1513,0.4545
Aaron_Wan-Bissaka,161.0,96.0,5,2,1.68,8.0,1.01,0.0311,0.625,0.2211,0.0909
Abd-Al-Ali Morakinyo Olaposi_Koiki,0.0,29.0,4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Abdoulaye_Doucouré,332.0,128.0,5,3,2.59,20.0,1.03,0.0151,0.25,0.3408,0.2727
Adama_Traoré,146.0,87.0,5,3,1.68,18.0,1.03,0.0342,0.2778,0.2211,0.2727
Adam_Idah,0.0,14.0,4,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Adam_Lallana,188.0,128.0,5,3,1.47,10.0,1.02,0.0266,0.5,0.1934,0.1818
Adam_Masina,34.0,52.0,4,2,0.65,8.0,1.01,0.1176,0.5,0.0855,0.0909
Adam_Smith,260.0,128.0,4,2,2.03,25.0,1.04,0.0154,0.16,0.2671,0.3636
Adam_Webster,24.0,14.0,4,2,1.71,8.0,1.01,0.1667,0.5,0.225,0.0909
Addji Keaninkin Marc-Israel_Guehi,0.0,15.0,4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ademola_Lookman,60.0,108.0,5,3,0.56,0.0,1.0,0.0833,0.0,0.0737,0.0
Adrian_Mariappa,132.0,125.0,4,2,1.06,4.0,1.01,0.0303,1.0,0.1395,0.0909
Adrián_San Miguel del Castillo,160.0,128.0,4,1,1.25,1.0,1.0,0.025,4.0,0.1645,1.0E-4
Ahmed_El Mohamady,7.0,14.0,4,2,0.5,0.0,1.0,0.5714,0.0,0.0658,0.0
Ainsley_Maitland-Niles,77.0,116.0,4,2,0.66,0.0,1.0,0.0519,0.0,0.0868,0.0
Akin_Famewo,0.0,14.0,4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Albian_Ajeti,4.0,14.0,5,4,0.29,4.0,1.01,1.25,1.25,0.0382,0.0909
Alexander_Tettey,15.0,14.0,4,3,1.07,11.0,1.02,0.2667,0.3636,0.1408,0.1818
Alexandre Nascimento_Costa Silva,1.0,36.0,4,4,0.03,0.0,1.0,4.0,0.0,0.004,0.0
Alexandre_Lacazette,344.0,90.0,9,4,3.82,26.0,1.04,0.0262,0.3462,0.5026,0.3636
Alexis_Mac Allister,1.0,3.0,5,3,0.33,1.0,1.0,5.0,5.0,0.0435,1.0E-4
Alexis_Sánchez,463.0,128.0,6,3,3.62,0.0,1.0,0.013,0.0,0.4763,0.0
Alex_Iwobi,305.0,128.0,5,3,2.38,11.0,1.02,0.0164,0.4545,0.3132,0.1818
Alex_McCarthy,132.0,128.0,4,1,1.03,7.0,1.01,0.0303,0.5714,0.1355,0.0909
Alex_Oxlade-Chamberlain,195.0,128.0,6,3,1.52,9.0,1.02,0.0308,0.6667,0.2,0.1818
Alfie_Whiteman,0.0,75.0,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Alireza_Jahanbakhsh,33.0,52.0,5,3,0.63,0.0,1.0,0.1515,0.0,0.0829,0.0
Alisson_Ramses Becker,188.0,52.0,6,1,3.62,11.0,1.02,0.0319,0.5455,0.4763,0.1818
Allan_Saint-Maximin,21.0,14.0,5,3,1.5,15.0,1.03,0.2381,0.3333,0.1974,0.2727
Andreas_Christensen,109.0,90.0,4,2,1.21,0.0,1.0,0.0367,0.0,0.1592,0.0
Andreas_Pereira,63.0,128.0,4,3,0.49,19.0,1.03,0.0635,0.2105,0.0645,0.2727
Andrew_Robertson,462.0,128.0,7,2,3.61,32.0,1.05,0.0152,0.2188,0.475,0.4545
Andrew_Surman,165.0,128.0,4,3,1.29,0.0,1.0,0.0242,0.0,0.1697,0.0
Andre_Gray,296.0,128.0,5,4,2.31,9.0,1.02,0.0169,0.5556,0.3039,0.1818
Andre_Green,0.0,14.0,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Andriy_Yarmolenko,74.0,52.0,5,3,1.42,13.0,1.02,0.0676,0.3846,0.1868,0.1818
Andros_Townsend,401.0,128.0,5,3,3.13,13.0,1.02,0.0125,0.3846,0.4118,0.1818
André Filipe_Tavares Gomes,77.0,52.0,5,3,1.48,6.0,1.01,0.0649,0.8333,0.1947,0.0909
Andy_Carroll,124.0,128.0,5,4,0.97,4.0,1.01,0.0403,1.25,0.1276,0.0909
Andy_King,92.0,90.0,4,3,1.02,0.0,1.0,0.0435,0.0,0.1342,0.0
Andy_Lonergan,0.0,14.0,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Angelo_Ogbonna,206.0,128.0,4,2,1.61,14.0,1.02,0.0194,0.2857,0.2118,0.1818
Angel_Gomes,4.0,35.0,4,3,0.11,0.0,1.0,1.0,0.0,0.0145,0.0
Angus_Gunn,76.0,57.0,4,1,1.33,2.0,1.0,0.0526,2.0,0.175,0.0
Anthony_Driscoll-Glennon,0.0,17.0,3,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Anthony_Gordon,1.0,14.0,4,4,0.07,1.0,1.0,4.0,4.0,0.0093,1.0E-4
Anthony_Knockaert,162.0,90.0,5,3,1.8,0.0,1.0,0.0309,0.0,0.2368,0.0
Anthony_Martial,384.0,128.0,7,3,3.0,23.0,1.04,0.0182,0.3043,0.3947,0.3636
Antonio_Rüdiger,232.0,90.0,6,2,2.58,0.0,1.0,0.0259,0.0,0.3395,0.0
