player_name,total_points,gws,cost,position,points_per_match,points_last_6,points_per_match_last_6,cost_per_point,cost_per_point_last_6,cost_point_index,cost_point_index_last_6
Aaron_Connolly,36.0,17.0,4,4,2.12,5.0,1.01,0.1111,0.8,0.2789,0.1111
Aaron_Cresswell,259.0,131.0,4,2,1.98,22.0,1.04,0.0154,0.1818,0.2605,0.4444
Aaron_Lennon,139.0,131.0,4,3,1.06,4.0,1.01,0.0288,1.0,0.1395,0.1111
Aaron_Mooy,213.0,93.0,4,3,2.29,16.0,1.03,0.0188,0.25,0.3013,0.3333
Aaron_Ramsdale,70.0,51.0,4,1,1.37,22.0,1.04,0.0571,0.1818,0.1803,0.4444
Aaron_Wan-Bissaka,170.0,99.0,5,2,1.72,12.0,1.02,0.0294,0.4167,0.2263,0.2222
Abd-Al-Ali Morakinyo Olaposi_Koiki,0.0,29.0,4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Abdoulaye_Doucouré,337.0,131.0,5,3,2.57,12.0,1.02,0.0148,0.4167,0.3382,0.2222
Adama_Traoré,161.0,90.0,5,3,1.79,27.0,1.05,0.0311,0.1852,0.2355,0.5556
Adam_Idah,1.0,17.0,4,4,0.06,1.0,1.0,4.0,4.0,0.008,1.0E-4
Adam_Lallana,190.0,131.0,5,3,1.45,3.0,1.01,0.0263,1.6667,0.1908,0.1111
Adam_Masina,40.0,55.0,4,2,0.73,7.0,1.01,0.1,0.5714,0.0961,0.1111
Adam_Smith,262.0,131.0,4,2,2.0,4.0,1.01,0.0153,1.0,0.2632,0.1111
Adam_Webster,35.0,17.0,4,2,2.06,12.0,1.02,0.1143,0.3333,0.2711,0.2222
Addji Keaninkin Marc-Israel_Guehi,0.0,18.0,4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ademola_Lookman,60.0,111.0,5,3,0.54,0.0,1.0,0.0833,0.0,0.0711,0.0
Adrian_Mariappa,134.0,128.0,4,2,1.05,5.0,1.01,0.0299,0.8,0.1382,0.1111
Adrián_San Miguel del Castillo,161.0,131.0,4,1,1.23,2.0,1.0,0.0248,2.0,0.1618,0.0
Ahmed_El Mohamady,13.0,17.0,4,2,0.76,6.0,1.01,0.3077,0.6667,0.1,0.1111
Ainsley_Maitland-Niles,80.0,119.0,4,2,0.67,3.0,1.01,0.05,1.3333,0.0882,0.1111
Akin_Famewo,0.0,17.0,4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Albian_Ajeti,5.0,17.0,5,4,0.29,2.0,1.0,1.0,2.5,0.0382,0.0
Alexander_Tettey,30.0,17.0,4,3,1.76,19.0,1.03,0.1333,0.2105,0.2316,0.3333
Alexandre Nascimento_Costa Silva,1.0,39.0,4,4,0.03,0.0,1.0,4.0,0.0,0.004,0.0
Alexandre_Lacazette,351.0,93.0,9,4,3.77,23.0,1.04,0.0256,0.3913,0.4961,0.4445
Alexis_Mac Allister,1.0,3.0,5,3,0.33,1.0,1.0,5.0,5.0,0.0435,1.0E-4
Alexis_Sánchez,463.0,131.0,6,3,3.53,0.0,1.0,0.013,0.0,0.4645,0.0
Alex_Iwobi,311.0,131.0,5,3,2.37,10.0,1.02,0.0161,0.5,0.3118,0.2222
Alex_McCarthy,139.0,131.0,4,1,1.06,13.0,1.02,0.0288,0.3077,0.1395,0.2222
Alex_Oxlade-Chamberlain,204.0,131.0,6,3,1.56,16.0,1.03,0.0294,0.375,0.2053,0.3333
Alfie_Whiteman,0.0,78.0,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Alireza_Jahanbakhsh,34.0,55.0,5,3,0.62,1.0,1.0,0.1471,5.0,0.0816,1.0E-4
Alisson_Ramses Becker,200.0,55.0,6,1,3.64,16.0,1.03,0.03,0.375,0.4789,0.3333
Allan_Saint-Maximin,31.0,17.0,5,3,1.82,19.0,1.03,0.1613,0.2632,0.2395,0.3333
Andreas_Christensen,112.0,93.0,4,2,1.2,3.0,1.01,0.0357,1.3333,0.1579,0.1111
Andreas_Pereira,64.0,131.0,4,3,0.49,13.0,1.02,0.0625,0.3077,0.0645,0.2222
Andrew_Robertson,470.0,131.0,7,2,3.59,21.0,1.04,0.0149,0.3333,0.4724,0.4444
Andrew_Surman,165.0,131.0,4,3,1.26,0.0,1.0,0.0242,0.0,0.1658,0.0
Andre_Gray,299.0,131.0,5,4,2.28,9.0,1.02,0.0167,0.5556,0.3,0.2222
Andre_Green,0.0,17.0,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Andriy_Yarmolenko,76.0,55.0,5,3,1.38,5.0,1.01,0.0658,1.0,0.1816,0.1111
Andros_Townsend,405.0,131.0,5,3,3.09,14.0,1.02,0.0123,0.3571,0.4066,0.2222
André Filipe_Tavares Gomes,77.0,55.0,5,3,1.4,0.0,1.0,0.0649,0.0,0.1842,0.0
Andy_Carroll,134.0,131.0,5,4,1.02,12.0,1.02,0.0373,0.4167,0.1342,0.2222
Andy_King,92.0,93.0,4,3,0.99,0.0,1.0,0.0435,0.0,0.1303,0.0
Andy_Lonergan,0.0,17.0,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Angelo_Ogbonna,220.0,131.0,4,2,1.68,27.0,1.05,0.0182,0.1481,0.2211,0.5556
Angel_Gomes,4.0,38.0,4,3,0.11,0.0,1.0,1.0,0.0,0.0145,0.0
Angus_Gunn,76.0,60.0,4,1,1.27,0.0,1.0,0.0526,0.0,0.1671,0.0
Anthony_Driscoll-Glennon,0.0,17.0,3,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Anthony_Gordon,1.0,17.0,4,4,0.06,1.0,1.0,4.0,4.0,0.008,1.0E-4
Anthony_Knockaert,162.0,93.0,5,3,1.74,0.0,1.0,0.0309,0.0,0.2289,0.0
Anthony_Martial,396.0,131.0,7,3,3.02,26.0,1.04,0.0177,0.2692,0.3974,0.4444
Antonio_Rüdiger,234.0,93.0,6,2,2.52,2.0,1.0,0.0256,3.0,0.3316,1.0E-4
Anwar_El Ghazi,56.0,17.0,5,3,3.29,18.0,1.03,0.0893,0.2778,0.4329,0.3333
Archie_Mair,0.0,17.0,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Armando_Broja,1.0,1.0,4,4,1.0,1.0,1.0,4.0,4.0,0.1317,1.0E-4
Arnaut_Danjuma Groeneveld,18.0,17.0,5,3,1.06,12.0,1.02,0.2778,0.4167,0.1395,0.2222
Arthur_Masuaku,171.0,131.0,4,2,1.31,1.0,1.0,0.0234,4.0,0.1724,1.0E-4
Artur_Boruc,166.0,131.0,4,1,1.27,0.0,1.0,0.0241,0.0,0.1671,0.0
Ashley_Barnes,351.0,131.0,6,4,2.68,19.0,1.03,0.0171,0.3158,0.3526,0.3333
Ashley_Westwood,204.0,108.0,5,3,1.89,15.0,1.03,0.0245,0.3333,0.2487,0.3333
Ashley_Young,215.0,131.0,5,2,1.64,3.0,1.01,0.0233,1.6667,0.2158,0.1111
Asmir_Begovic,177.0,131.0,4,1,1.35,0.0,1.0,0.0226,0.0,0.1776,0.0
Axel_Tuanzebe,22.0,66.0,4,2,0.33,2.0,1.0,0.1818,2.0,0.0434,0.0
Aymeric_Laporte,221.0,69.0,6,2,3.2,0.0,1.0,0.0271,0.0,0.4211,0.0
Ayotomiwa_Dele-Bashiru,0.0,17.0,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ayoze_Pérez,322.0,93.0,6,3,3.46,12.0,1.02,0.0186,0.5,0.4553,0.2222
Bailey_Peacock-Farrell,0.0,17.0,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
